,code,date,sp,wp
7,600236,2016-09-08,-1.5097902097902096,-1.502776626915839
8,600236,2016-09-09,-1.5056258790436006,-1.497674589992529
9,600236,2016-09-10,-1.5056258790436006,-1.497674589992529
10,600236,2016-09-11,-1.5056258790436006,-1.497674589992529
11,600236,2016-09-12,-1.5113798008534851,-1.5261379807240572
12,600236,2016-09-13,-1.5338235294117648,-1.5056812321222668
13,600236,2016-09-14,-1.5134128166915053,-1.5049866115108237
0,600237,2016-09-01,-1.5012987012987014,-1.497285440049518
1,600237,2016-09-02,-1.488446726572529,-1.5087808118770332
2,600237,2016-09-03,-1.488446726572529,-1.5087808118770332
3,600237,2016-09-04,-1.488446726572529,-1.5087808118770332
4,600237,2016-09-05,-1.5051612903225806,-1.4984445900171062
5,600237,2016-09-06,-1.5038860103626943,-1.497029271614359
6,600237,2016-09-07,-1.4449204406364748,-1.4865955415954044
7,600237,2016-09-08,-1.5012254901960784,-1.502776626915839
8,600237,2016-09-09,-1.497555012224939,-1.497674589992529
9,600237,2016-09-10,-1.497555012224939,-1.497674589992529
10,600237,2016-09-11,-1.497555012224939,-1.497674589992529
11,600237,2016-09-12,-1.5,-1.5261379807240572
12,600237,2016-09-13,-1.5289308176100629,-1.5056812321222668
13,600237,2016-09-14,-1.413793103448276,-1.5049866115108237
0,600238,2016-09-01,-1.4966244725738398,-1.497285440049518
1,600238,2016-09-02,-1.510230179028133,-1.5087808118770332
2,600238,2016-09-03,-1.510230179028133,-1.5087808118770332
3,600238,2016-09-04,-1.510230179028133,-1.5087808118770332
4,600238,2016-09-05,-1.494910941475827,-1.4984445900171062
5,600238,2016-09-06,-1.5016992353440952,-1.497029271614359
6,600238,2016-09-07,-1.474337748344371,-1.4865955415954044
7,600238,2016-09-08,-1.508347245409015,-1.502776626915839
8,600238,2016-09-09,-1.4966722129783694,-1.497674589992529
9,600238,2016-09-10,-1.4966722129783694,-1.497674589992529
10,600238,2016-09-11,-1.4966722129783694,-1.497674589992529
11,600238,2016-09-12,-1.5229787234042553,-1.5261379807240572
12,600238,2016-09-13,-1.4816207184628236,-1.5056812321222668
13,600238,2016-09-14,-1.4983319432860718,-1.5049866115108237
0,600239,2016-09-01,-1.4981617647058822,-1.497285440049518
1,600239,2016-09-02,-1.5187265917602997,-1.5087808118770332
2,600239,2016-09-03,-1.5187265917602997,-1.5087808118770332
3,600239,2016-09-04,-1.5187265917602997,-1.5087808118770332
4,600239,2016-09-05,-1.5,-1.4984445900171062
5,600239,2016-09-06,-1.4962686567164178,-1.497029271614359
6,600239,2016-09-07,-1.496282527881041,-1.4865955415954044
7,600239,2016-09-08,-1.4764065335753176,-1.502776626915839
8,600239,2016-09-09,-1.496383363471971,-1.497674589992529
9,600239,2016-09-10,-1.496383363471971,-1.497674589992529
10,600239,2016-09-11,-1.496383363471971,-1.497674589992529
11,600239,2016-09-12,-1.4946043165467626,-1.5261379807240572
12,600239,2016-09-13,-1.5090744101633393,-1.5056812321222668
