,code,date,sp,wp
8,000042,2016-09-08,-1.5045045045045045,invalid code
9,000042,2016-09-09,-1.5050301810865192,invalid code
10,000042,2016-09-10,-1.5050301810865192,invalid code
11,000042,2016-09-11,-1.5050301810865192,invalid code
12,000042,2016-09-12,-1.5168797953964193,invalid code
13,000042,2016-09-13,-1.507212776919114,invalid code
14,000042,2016-09-14,-1.4903061224489795,invalid code
0,000046,2016-08-31,-1.5140449438202248,invalid code
1,000046,2016-09-01,-1.4971988795518205,invalid code
2,000046,2016-09-02,-1.4990671641791045,invalid code
3,000046,2016-09-03,-1.4990671641791045,invalid code
4,000046,2016-09-04,-1.4990671641791045,invalid code
5,000046,2016-09-05,-1.5009337068160598,invalid code
6,000046,2016-09-06,-1.5094250706880303,invalid code
7,000046,2016-09-07,-1.4888164026095059,invalid code
8,000046,2016-09-08,-1.526794258373206,invalid code
9,000046,2016-09-09,-1.4933460076045628,invalid code
10,000046,2016-09-10,-1.4933460076045628,invalid code
11,000046,2016-09-11,-1.4933460076045628,invalid code
12,000046,2016-09-12,-1.5154440154440154,invalid code
13,000046,2016-09-13,-1.4990356798457087,invalid code
14,000046,2016-09-14,-1.4980750721847929,invalid code
0,000048,2016-08-31,-1.4923339011925043,invalid code
1,000048,2016-09-01,-1.5126509488211615,invalid code
2,000048,2016-09-02,-1.516364699006429,invalid code
3,000048,2016-09-03,-1.516364699006429,invalid code
4,000048,2016-09-04,-1.516364699006429,invalid code
5,000048,2016-09-05,-1.47883295194508,invalid code
6,000048,2016-09-06,-1.5040206777713958,invalid code
7,000048,2016-09-07,-1.4850070721357849,invalid code
8,000048,2016-09-08,-1.5022682166146866,invalid code
9,000048,2016-09-09,-1.500851305334847,invalid code
10,000048,2016-09-10,-1.500851305334847,invalid code
11,000048,2016-09-11,-1.500851305334847,invalid code
12,000048,2016-09-12,-1.510031527658355,invalid code
13,000048,2016-09-13,-1.511304347826087,invalid code
14,000048,2016-09-14,-1.5147058823529411,invalid code
0,000049,2016-08-31,-1.5042799597180263,invalid code
1,000049,2016-09-01,-1.5163766632548619,invalid code
2,000049,2016-09-02,-1.5007682458386684,invalid code
3,000049,2016-09-03,-1.5007682458386684,invalid code
4,000049,2016-09-04,-1.5007682458386684,invalid code
5,000049,2016-09-05,-1.4764941235308826,invalid code
6,000049,2016-09-06,-1.4521428571428572,invalid code
7,000049,2016-09-07,-1.4962049335863379,invalid code
8,000049,2016-09-08,-1.5173745173745175,invalid code
9,000049,2016-09-09,-1.5169325153374233,invalid code
10,000049,2016-09-10,-1.5169325153374233,invalid code
11,000049,2016-09-11,-1.5169325153374233,invalid code
12,000049,2016-09-12,-1.5319068118511014,invalid code
13,000049,2016-09-13,-1.492211055276382,invalid code
14,000049,2016-09-14,-1.4193809193809193,invalid code
0,000055,2016-08-31,-1.507920792079208,invalid code
1,000055,2016-09-01,-1.4876140808344198,invalid code
2,000055,2016-09-02,-1.5019595035924231,invalid code
3,000055,2016-09-03,-1.5019595035924231,invalid code
4,000055,2016-09-04,-1.5019595035924231,invalid code
5,000055,2016-09-05,-1.4967447916666667,invalid code
6,000055,2016-09-06,-1.5118577075098814,invalid code
7,000055,2016-09-07,-1.4928057553956835,invalid code
8,000055,2016-09-08,-1.50065445026178,invalid code
9,000055,2016-09-09,-1.507915567282322,invalid code
10,000055,2016-09-10,-1.507915567282322,invalid code
11,000055,2016-09-11,-1.507915567282322,invalid code
12,000055,2016-09-12,-1.5106666666666666,invalid code
13,000055,2016-09-13,-1.5752688172043012,invalid code
14,000055,2016-09-14,-1.525735294117647,invalid code
0,000056,2016-08-31,-1.5015128593040847,invalid code
1,000056,2016-09-01,-1.4924924924924925,invalid code
2,000056,2016-09-02,-1.5333591931730024,invalid code
3,000056,2016-09-03,-1.5333591931730024,invalid code
4,000056,2016-09-04,-1.5333591931730024,invalid code
5,000056,2016-09-05,-1.5205859065716547,invalid code
6,000056,2016-09-06,-1.4984189723320158,invalid code
7,000056,2016-09-07,-1.482905982905983,invalid code
8,000056,2016-09-08,-1.5230524642289347,invalid code
9,000056,2016-09-09,-1.4866666666666666,invalid code
